Data Size,Time (ns)
800,1.08539841E7
4000,737853.7
7200,1691779.7
10400,2182636.2
13600,1800717.9
16800,783071.0
20000,1623942.5
23200,604602.5
26400,1031851.2
29600,2089783.9
32800,802334.9
36000,498909.4
39200,1193176.1
42400,1069951.2
45600,740939.8
48800,1438675.9
52000,3292003.5
55200,4266745.2
58400,5606724.5
61600,4399244.5
64800,1916088.3
68000,1754029.9
71200,1166821.6
74400,2163723.2
77600,1331752.7
80800,1425448.1
84000,3077444.6
87200,3490372.6
90400,1343290.7
93600,1183215.4
96800,1066833.1
100000,1902113.0
103200,3375628.3
106400,2442535.6
109600,1203600.9
112800,1842533.8
116000,1306678.9
119200,1856673.4
122400,2786120.8
125600,1699646.9
128800,1656497.6
132000,1038445.0
135200,1313786.0
138400,1595531.3
141600,1723571.2
144800,5388800.6
148000,2797273.4
151200,2025467.6
154400,1319288.3
157600,1484830.4
160800,1128739.2
164000,2820979.5
167200,4465124.3
170400,2569760.6
173600,3306406.5
176800,1460887.6
180000,1798840.4
183200,1787625.9
186400,2774283.7
189600,3181710.4
192800,5156143.7
196000,3367165.5
199200,3687524.6
202400,1832009.0
205600,2198258.0
208800,2269847.1
212000,1648162.0
215200,2169713.6
218400,4791213.9
221600,2912076.0
224800,1650938.8
228000,2091016.5
231200,1750235.1
234400,1784264.5
237600,3644599.8
240800,3539422.8
244000,3819695.1
247200,2126616.3
250400,1540333.0
253600,2171517.6
256800,1857205.4
260000,2000813.2
263200,1944402.6
266400,1449289.2
269600,1261897.7
272800,1199896.8
276000,1680317.7
279200,1536707.1
282400,1378082.7
285600,1327420.7
288800,1421093.6
292000,1587184.0
295200,1330717.3
298400,1424088.8
301600,2903782.6
304800,1595068.5
308000,2017922.4
311200,2094665.1
314400,1483509.0
317600,1936952.4
320800,2164724.6
324000,1897311.5
327200,1890501.4
330400,1631729.8
333600,1613793.3
336800,2088180.4
340000,1917827.2
343200,1910804.4
346400,1786836.7
349600,4114268.6
352800,2154678.5
356000,2654970.0
359200,1734383.5
362400,1755025.8
365600,1466470.6
368800,2727202.7
372000,2280181.6
375200,1786619.9
378400,1569323.5
381600,1882006.6
384800,1858171.1
388000,2267762.1
391200,2078007.3
394400,4099731.8
397600,1677465.0
400800,1904177.5
404000,2344740.8
407200,2637411.5
410400,1938306.2
413600,2931417.7
416800,4857690.5
420000,1971047.9
423200,2054034.4
426400,2373074.5
429600,2530211.7
432800,2376687.4
436000,2296852.1
439200,2123149.7
442400,2553529.1
445600,2585443.9
448800,2455925.1
452000,2569869.8
455200,2339072.7
458400,2663010.7
461600,2647015.2
