Data Size,Time (ns)
800,4245684.0
7200,1758985.4
13600,829692.96
20000,781738.84
26400,768296.4
32800,2597898.24
39200,697290.68
45600,1158983.08
52000,1974643.24
58400,2851294.56
64800,1798054.8
71200,1158801.16
77600,1597286.52
84000,1641708.48
90400,3541069.52
96800,2713156.56
103200,2470075.56
109600,4183996.24
116000,1671532.4
122400,2198689.44
128800,1478554.0
135200,3748814.12
141600,4694068.0
148000,6322377.08
154400,3791626.2
160800,3277370.32
167200,3510607.64
173600,3077687.52
180000,2704863.68
186400,2520446.04
192800,3957090.88
199200,2241349.48
205600,1830405.84
212000,2518135.48
218400,2739493.76
224800,1782661.52
231200,2155585.12
237600,2430538.72
244000,2536400.8
250400,4300097.04
256800,3481109.8
263200,2618042.68
269600,2524438.6
276000,2957157.36
282400,2958582.8
288800,2859646.44
295200,2928384.12
301600,2452012.8
308000,2421688.88
314400,3631252.08
320800,2681489.56
327200,1963319.68
333600,2894366.36
340000,2552856.88
346400,2645548.6
352800,4197599.44
359200,3199184.0
365600,3012301.32
372000,3012839.24
378400,3989748.52
384800,5857003.8
391200,8108064.32
397600,2741203.0
404000,2704139.28
410400,3276037.96
416800,3109504.76
423200,2982537.56
429600,3213415.56
436000,5573924.72
442400,3784609.16
448800,3237948.56
455200,3990331.96
461600,3799581.32
468000,4800807.44
474400,4309209.56
480800,4083789.56
487200,5822229.04
493600,3509655.4
500000,4587933.92
506400,3415506.12
512800,4231630.68
519200,5408514.48
525600,4095394.92
532000,3569125.2
538400,3942733.16
544800,3721514.16
551200,4247583.76
557600,3913387.44
564000,5780817.96
570400,4915697.92
576800,5015508.4
583200,4979060.28
589600,6549274.0
596000,5324550.32
602400,4765965.4
608800,5300701.36
615200,5165829.88
621600,5232926.6
628000,6056313.4
634400,6238760.56
