Data Size,Time (ms)
8,6.0
40,17.1
72,27.1
104,19.5
136,18.6
168,16.8
200,15.3
232,21.9
264,15.6
296,10.9
328,31.0
360,20.7
392,15.5
424,9.6
456,10.9
488,22.0
520,19.3
552,18.2
584,28.1
616,18.7
648,13.5
680,11.2
712,19.4
744,13.3
776,23.0
808,12.4
840,26.1
872,19.9
904,24.6
936,11.3
968,33.8
1000,105.8
1032,34.8
1064,39.6
1096,25.9
1128,23.8
1160,35.3
1192,14.8
1224,29.9
1256,29.3
1288,23.9
1320,27.1
1352,28.1
1384,18.9
1416,30.4
1448,10.7
1480,32.1
1512,20.2
1544,13.9
1576,21.0
1608,13.5
1640,11.9
1672,13.1
1704,13.1
1736,18.4
1768,19.6
1800,25.4
1832,19.7
1864,14.6
1896,77.0
1928,15.6
1960,20.1
1992,11.0
2024,21.2
2056,14.1
2088,23.1
2120,45.2
2152,37.1
2184,24.1
2216,24.6
2248,14.1
2280,12.6
2312,20.0
2344,15.7
2376,29.5
2408,24.5
2440,28.2
2472,18.6
2504,16.7
2536,11.1
2568,16.4
2600,14.6
2632,29.7
2664,16.0
2696,14.8
2728,79.3
2760,28.6
2792,19.2
2824,54.4
2856,15.1
2888,20.7
2920,38.2
2952,30.4
2984,25.5
3016,13.8
3048,33.3
3080,13.3
3112,14.7
3144,12.8
3176,15.4
3208,14.2
3240,23.1
3272,19.9
3304,12.7
3336,21.8
3368,17.0
3400,12.1
3432,9.0
3464,36.6
3496,16.8
3528,19.0
3560,20.5
3592,16.3
3624,14.4
3656,15.5
3688,42.3
3720,62.6
3752,21.8
3784,24.0
3816,18.9
3848,14.2
3880,15.7
3912,12.8
3944,37.3
3976,14.0
4008,14.7
4040,39.7
4072,18.9
4104,13.1
4136,17.6
4168,10.3
4200,22.5
4232,11.9
4264,42.8
4296,53.0
4328,16.4
4360,24.7
4392,15.0
4424,114.4
4456,42.7
4488,32.5
4520,50.7
4552,18.5
4584,27.3
4616,11.3
