Data Size,Time (ms)
8,19.2
40,13.1
72,14.8
104,27.0
136,14.2
168,24.3
200,34.3
232,54.5
264,43.7
296,21.9
328,28.6
360,31.6
392,20.6
424,18.8
456,22.8
488,17.2
520,28.7
552,19.5
584,17.9
616,10.3
648,29.1
680,24.1
712,20.7
744,32.5
776,14.2
808,10.1
840,52.8
872,15.5
904,18.8
936,28.7
968,23.9
1000,9.6
1032,18.3
1064,18.5
1096,12.0
1128,20.4
1160,13.0
1192,16.9
1224,11.9
1256,15.5
1288,34.2
1320,12.6
1352,10.9
1384,18.9
1416,14.8
1448,19.9
1480,23.2
1512,14.1
1544,18.8
1576,33.7
1608,38.0
1640,31.6
1672,50.9
1704,85.4
1736,37.3
1768,15.9
1800,16.3
1832,21.9
1864,20.0
1896,9.4
1928,11.8
1960,18.7
1992,12.7
2024,27.2
2056,9.9
2088,24.6
2120,29.2
2152,49.1
2184,25.1
2216,28.6
2248,12.2
2280,54.3
2312,15.6
2344,19.2
2376,14.3
2408,15.1
2440,9.3
2472,22.3
2504,12.3
2536,19.4
2568,28.5
2600,19.1
2632,33.2
2664,17.6
2696,12.8
2728,24.7
2760,12.7
2792,24.3
2824,31.7
2856,11.9
2888,10.0
2920,38.2
2952,37.2
2984,29.6
3016,46.6
3048,33.3
3080,14.3
3112,17.6
3144,80.9
3176,14.8
3208,16.1
3240,22.3
3272,30.3
3304,8.9
3336,12.4
3368,15.1
3400,15.9
3432,10.3
3464,24.7
3496,23.6
3528,23.6
3560,48.7
3592,22.2
3624,64.2
3656,28.6
3688,15.7
3720,25.4
3752,24.5
3784,22.8
3816,21.7
3848,24.5
3880,65.8
3912,12.1
3944,73.9
3976,30.6
4008,25.7
4040,38.5
4072,19.3
4104,14.5
4136,49.5
4168,16.8
4200,25.8
4232,18.4
4264,10.8
4296,18.2
4328,9.5
4360,9.3
4392,13.1
4424,14.0
4456,30.7
4488,17.4
4520,19.9
4552,20.7
4584,22.3
4616,15.0
